🃏,277 / 286,,,,,⬆️,,,,,,,,,
💠,226 / 226,,,,,Show/hide card pull rates,,,,,,,,,
⭐,51 / 57,,,,,,Any A1,,,,,,,,
👑,0 / 3,,,,,,Mewtwo,,,Pikachu,,,Charizard,,
TRUE,A1 073,Seaking,Poissoroy,Pikachu,💠,11,,,,2.000%,,,,,
TRUE,A1 074,Staryu,Stari,Charizard,💠,13,,,,,,,2.000%,,
TRUE,A1 075,Starmie,Staross,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 076,Starmie ex,Staross ex,Charizard,💠💠💠💠,2,,,,,,,,0.333%,1.333%
TRUE,A1 077,Magikarp,Magicarpe,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 078,Gyarados,Léviator,Pikachu,💠💠💠,4,,,,,0.357%,1.429%,,,
TRUE,A1 079,Lapras,Lokhlass,Charizard,💠💠💠,3,,,,,,,,0.357%,1.429%
TRUE,A1 080,Vaporeon,Aquali,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 081,Omanyte,Amonita,Pikachu,💠💠,6,,,,,2.571%,1.714%,,,
TRUE,A1 082,Omastar,Amonistar,Pikachu,💠💠💠,4,,,,,0.357%,1.429%,,,
TRUE,A1 083,Articuno,Artikodin,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 084,Articuno ex,Artikodin ex,Mewtwo,💠💠💠💠,1,,0.333%,1.333%,,,,,,
TRUE,A1 085,Ducklett,Couaneton,Charizard,💠,10,,,,,,,2.000%,,
TRUE,A1 086,Swanna,Lakmécygne,Charizard,💠💠,4,,,,,,,,2.571%,1.714%
TRUE,A1 087,Froakie,Grenousse,Charizard,💠,6,,,,,,,2.000%,,
TRUE,A1 088,Frogadier,Crôaporal,Charizard,💠💠,6,,,,,,,,2.571%,1.714%
TRUE,A1 089,Greninja,Amphinobi,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 090,Pyukumuku,Concombaffe,Charizard,💠,16,,,,,,,2.000%,,
TRUE,A1 091,Bruxish,Denticrisse,Any A1,💠💠,16,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 092,Snom,Frissonille,Any A1,💠,23,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 093,Frosmoth,Beldeneige,Any A1,💠💠,16,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 094,Pikachu,Pikachu,Pikachu,💠,18,,,,2.000%,,,,,
TRUE,A1 095,Raichu,Raichu,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 096,Pikachu ex,Pikachu ex,Pikachu,💠💠💠💠,2,,,,,0.333%,1.333%,,,
TRUE,A1 097,Magnemite,Magnéti,Pikachu,💠,37,,,,2.000%,,,,,
TRUE,A1 098,Magneton,Magnéton,Pikachu,💠💠💠,2,,,,,0.357%,1.429%,,,
TRUE,A1 099,Voltorb,Voltorbe,Pikachu,💠,7,,,,2.000%,,,,,
TRUE,A1 100,Electrode,Électrode,Pikachu,💠💠,11,,,,,2.571%,1.714%,,,
TRUE,A1 101,Electabuzz,Élektek,Pikachu,💠,16,,,,2.000%,,,,,
TRUE,A1 102,Jolteon,Voltali,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 103,Zapdos,Électhor,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 104,Zapdos ex,Électhor ex,Pikachu,💠💠💠💠,2,,,,,0.333%,1.333%,,,
TRUE,A1 105,Blitzle,Zébibron,Any A1,💠,25,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 106,Zebstrika,Zéblitz,Any A1,💠💠,16,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 107,Tynamo,Anchwatt,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 108,Eelektrik,Lampéroie,Mewtwo,💠💠,3,,2.571%,1.714%,,,,,,
TRUE,A1 109,Eelektross,Ohmassacre,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 110,Helioptile,Galvaran,Any A1,💠,31,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 111,Heliolisk,Iguolta,Any A1,💠,28,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 112,Pincurchin,Wattapik,Any A1,💠💠,18,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 113,Clefairy,Mélofée,Pikachu,💠,8,,,,2.000%,,,,,
TRUE,A1 114,Clefable,Mélodelfe,Pikachu,💠💠,6,,,,,2.571%,1.714%,,,
TRUE,A1 115,Abra,Abra,Charizard,💠,8,,,,,,,2.000%,,
TRUE,A1 116,Kadabra,Kadabra,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 117,Alakazam,Alakazam,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 118,Slowpoke,Ramoloss,Any A1,💠,23,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 119,Slowbro,Flagadoss,Any A1,💠💠,10,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 120,Gastly,Fantominus,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 121,Haunter,Spectrum,Mewtwo,💠💠,3,,2.571%,1.714%,,,,,,
TRUE,A1 122,Gengar,Ectoplasma,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 123,Gengar ex,Ectoplasma ex,Mewtwo,💠💠💠💠,2,,0.333%,1.333%,,,,,,
TRUE,A1 124,Drowzee,Soporifik,Pikachu,💠,5,,,,2.000%,,,,,
TRUE,A1 125,Hypno,Hypnomade,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 126,Mr. Mime,M. Mime,Mewtwo,💠💠,2,,2.571%,1.714%,,,,,,
TRUE,A1 127,Jynx,Lippoutou,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 128,Mewtwo,Mewtwo,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 129,Mewtwo ex,Mewtwo ex,Mewtwo,💠💠💠💠,3,,0.333%,1.333%,,,,,,
TRUE,A1 130,Ralts,Tarsal,Mewtwo,💠,14,2.000%,,,,,,,,
TRUE,A1 131,Kirlia,Kirlia,Mewtwo,💠💠,5,,2.571%,1.714%,,,,,,
TRUE,A1 132,Gardevoir,Gardevoir,Mewtwo,💠💠💠,3,,0.357%,1.429%,,,,,,
TRUE,A1 133,Woobat,Chovsourir,Any A1,💠,30,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 134,Swoobat,Rhinolove,Any A1,💠,26,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 135,Golett,Gringolem,Any A1,💠,21,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 136,Golurk,Golemastoc,Any A1,💠💠,14,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 137,Sandshrew,Sabelette,Any A1,💠,22,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 138,Sandslash,Sablaireau,Any A1,💠💠,14,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 139,Diglett,Taupiqueur,Pikachu,💠,4,,,,2.000%,,,,,
TRUE,A1 140,Dugtrio,Triopikeur,Pikachu,💠💠,3,,,,,2.571%,1.714%,,,
TRUE,A1 141,Mankey,Férosinge,Charizard,💠,3,,,,,,,2.000%,,
TRUE,A1 142,Primeape,Colosinge,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 143,Machop,Machoc,Charizard,💠,6,,,,,,,2.000%,,
TRUE,A1 144,Machoke,Machopeur,Charizard,💠💠,8,,,,,,,,2.571%,1.714%
TRUE,A1 145,Machamp,Mackogneur,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 146,Machamp ex,Mackogneur ex,Charizard,💠💠💠💠,2,,,,,,,,0.333%,1.333%
TRUE,A1 147,Geodude,Racaillou,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 148,Graveler,Gravalanch,Pikachu,💠💠,5,,,,,2.571%,1.714%,,,
TRUE,A1 149,Golem,Grolem,Pikachu,💠💠💠,2,,,,,0.357%,1.429%,,,
TRUE,A1 150,Onix,Onix,Pikachu,💠💠,8,,,,,2.571%,1.714%,,,
TRUE,A1 151,Cubone,Osselait,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 152,Marowak,Ossatueur,Mewtwo,💠💠,7,,2.571%,1.714%,,,,,,
TRUE,A1 153,Marowak ex,Ossatueur ex,Mewtwo,💠💠💠💠,2,,0.333%,1.333%,,,,,,
TRUE,A1 154,Hitmonlee,Kicklee,Mewtwo,💠,4,2.000%,,,,,,,,
TRUE,A1 155,Hitmonchan,Tygnon,Charizard,💠,7,,,,,,,2.000%,,
TRUE,A1 156,Rhyhorn,Rhinocorne,Mewtwo,💠,4,2.000%,,,,,,,,
TRUE,A1 157,Rhydon,Rhinoféros,Mewtwo,💠💠,2,,2.571%,1.714%,,,,,,
TRUE,A1 158,Kabuto,Kabuto,Charizard,💠💠,6,,,,,,,,2.571%,1.714%
TRUE,A1 159,Kabutops,Kabutops,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 160,Mienfoo,Kungfouine,Pikachu,💠,5,,,,2.000%,,,,,
TRUE,A1 161,Mienshao,Shaofouine,Pikachu,💠💠,7,,,,,2.571%,1.714%,,,
TRUE,A1 162,Clobbopus,Poulpaf,Any A1,💠,21,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 163,Grapploct,Krakos,Any A1,💠💠,13,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 164,Ekans,Abo,Any A1,💠,31,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 165,Arbok,Arbok,Any A1,💠💠,13,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 166,Nidoran♀,Nidoran♀,Pikachu,💠,5,,,,2.000%,,,,,
TRUE,A1 167,Nidorina,Nidorina,Pikachu,💠💠,6,,,,,2.571%,1.714%,,,
TRUE,A1 168,Nidoqueen,Nidoqueen,Pikachu,💠💠💠,2,,,,,0.357%,1.429%,,,
TRUE,A1 169,Nidoran♂,Nidoran♂,Pikachu,💠,3,,,,2.000%,,,,,
TRUE,A1 170,Nidorino,Nidorino,Pikachu,💠💠,5,,,,,2.571%,1.714%,,,
TRUE,A1 171,Nidoking,Nidoking,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 172,Zubat,Nosferapti,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 173,Golbat,Nosferalto,Mewtwo,💠💠,3,,2.571%,1.714%,,,,,,
TRUE,A1 174,Grimer,Tadmorv,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 175,Muk,Grotadmorv,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 176,Koffing,Smogo,Mewtwo,💠,10,2.000%,,,,,,,,
TRUE,A1 177,Weezing,Smogogo,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 178,Mawile,Mysdibule,Charizard,💠,8,,,,,,,2.000%,,
TRUE,A1 179,Pawniard,Scalpion,Any A1,💠,21,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 180,Bisharp,Scalproie,Any A1,💠💠,8,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 181,Meltan,Meltan,Charizard,💠,7,,,,,,,2.000%,,
TRUE,A1 182,Melmetal,Melmetal,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 183,Dratini,Minidraco,Mewtwo,💠,9,2.000%,,,,,,,,
TRUE,A1 184,Dragonair,Draco,Mewtwo,💠💠,5,,2.571%,1.714%,,,,,,
TRUE,A1 185,Dragonite,Dracolosse,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 186,Pidgey,Roucool,Mewtwo,💠,12,2.000%,,,,,,,,
TRUE,A1 187,Pidgeotto,Roucoups,Mewtwo,💠,3,2.000%,,,,,,,,
TRUE,A1 188,Pidgeot,Roucarnage,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 189,Rattata,Rattata,Any A1,💠,22,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 190,Raticate,Rattatac,Any A1,💠,20,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 191,Spearow,Piafabec,Charizard,💠,11,,,,,,,2.000%,,
TRUE,A1 192,Fearow,Rapasdepic,Charizard,💠,6,,,,,,,2.000%,,
TRUE,A1 193,Jigglypuff,Rondoudou,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 194,Wigglytuff,Grodoudou,Pikachu,💠,7,,,,2.000%,,,,,
TRUE,A1 195,Wigglytuff ex,Grodoudou ex,Pikachu,💠💠💠💠,2,,,,,0.333%,1.333%,,,
TRUE,A1 196,Meowth,Miaouss,Charizard,💠,18,,,,,,,2.000%,,
TRUE,A1 197,Persian,Persian,Charizard,💠💠,3,,,,,,,,2.571%,1.714%
TRUE,A1 198,Farfetch'd,Canarticho,Any A1,💠,29,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 199,Doduo,Doduo,Any A1,💠,14,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 200,Dodrio,Dodrio,Any A1,💠💠,27,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 201,Lickitung,Excelangue,Mewtwo,💠💠,3,,2.571%,1.714%,,,,,,
TRUE,A1 202,Chansey,Leveinard,Pikachu,💠💠,18,,,,,2.571%,1.714%,,,
TRUE,A1 203,Kangaskhan,Kangourex,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 204,Tauros,Tauros,Charizard,💠💠,7,,,,,,,,2.571%,1.714%
TRUE,A1 205,Ditto,Métamorph,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 206,Eevee,Évoli,Charizard,💠,5,,,,,,,2.000%,,
TRUE,A1 207,Eevee,Évoli,Mewtwo,💠,6,2.000%,,,,,,,,
TRUE,A1 208,Eevee,Évoli,Pikachu,💠,7,,,,2.000%,,,,,
TRUE,A1 209,Porygon,Porygon,Mewtwo,💠💠,2,,2.571%,1.714%,,,,,,
TRUE,A1 210,Aerodactyl,Ptéra,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 211,Snorlax,Ronflex,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 212,Minccino,Chinchidou,Any A1,💠,20,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 213,Cinccino,Pashmilla,Any A1,💠💠,18,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 214,Wooloo,Moumouton,Any A1,💠,20,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 215,Dubwool,Moumouflon,Any A1,💠,31,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 216,Helix Fossil,Nautile,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 217,Dome Fossil,Fossile Dôme,Charizard,💠,7,,,,,,,2.000%,,
TRUE,A1 218,Old Amber,Vieil Ambre,Mewtwo,💠,14,2.000%,,,,,,,,
TRUE,A1 219,Erika,Erika,Charizard,💠💠,6,,,,,,,,2.571%,1.714%
TRUE,A1 220,Misty,Ondine,Pikachu,💠💠,8,,,,,2.571%,1.714%,,,
TRUE,A1 221,Blaine,Auguste,Charizard,💠💠,9,,,,,,,,2.571%,1.714%
TRUE,A1 222,Koga,Koga,Mewtwo,💠💠,5,,2.571%,1.714%,,,,,,
TRUE,A1 223,Giovanni,Giovanni,Mewtwo,💠💠,4,,2.571%,1.714%,,,,,,
TRUE,A1 224,Brock,Pierre,Pikachu,💠💠,9,,,,,2.571%,1.714%,,,
TRUE,A1 225,Sabrina,Morgane,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 226,Lt. Surge,Major Bob,Pikachu,💠💠,13,,,,,2.571%,1.714%,,,
TRUE,A1 227,Bulbasaur,Bulbizarre,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 228,Gloom,Ortide,Charizard,⭐,1,,,,,,,,0.322%,1.286%
TRUE,A1 229,Pinsir,Scarabrute,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 230,Charmander,Salamèche,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 231,Rapidash,Galopa,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 232,Squirtle,Carapuce,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 233,Gyarados,Léviator,Pikachu,⭐,1,,,,,0.322%,1.286%,,,
TRUE,A1 234,Lapras,Lokhlass,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 235,Electrode,Électrode,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 236,Alakazam,Alakazam,Charizard,⭐,1,,,,,,,,0.322%,1.286%
TRUE,A1 237,Slowpoke,Ramoloss,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 238,Diglett,Taupiqueur,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 239,Cubone,Osselait,Mewtwo,⭐,1,,0.322%,1.286%,,,,,,
TRUE,A1 240,Nidoqueen,Nidoqueen,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 241,Nidoking,Nidoking,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 242,Golbat,Nosferalto,Mewtwo,⭐,1,,0.322%,1.286%,,,,,,
TRUE,A1 243,Weezing,Smogogo,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 244,Dragonite,Dracolosse,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 245,Pidgeot,Roucarnage,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 246,Meowth,Miaouss,Charizard,⭐,2,,,,,,,,0.322%,1.286%
TRUE,A1 247,Ditto,Métamorph,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 248,Eevee,Évoli,Pikachu,⭐,1,,,,,0.322%,1.286%,,,
TRUE,A1 249,Porygon,Porygon,Mewtwo,⭐,2,,0.322%,1.286%,,,,,,
TRUE,A1 250,Snorlax,Ronflex,Pikachu,⭐,2,,,,,0.322%,1.286%,,,
TRUE,A1 251,Venusaur ex,Florizarre ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
TRUE,A1 252,Exeggutor ex,Noadkoko ex,Charizard,⭐⭐,1,,,,,,,,0.050%,0.200%
FALSE,A1 253,Charizard ex,Dracaufeu ex,Charizard,⭐⭐,0,,,,,,,,0.050%,0.200%
TRUE,A1 254,Arcanine ex,Arcanin ex,Pikachu,⭐⭐,1,,,,,0.050%,0.200%,,,
TRUE,A1 255,Moltres ex,Sulfura ex,Charizard,⭐⭐,2,,,,,,,,0.050%,0.200%
TRUE,A1 256,Blastoise ex,Tortank ex,Pikachu,⭐⭐,1,,,,,0.050%,0.200%,,,
TRUE,A1 257,Starmie ex,Staross ex,Charizard,⭐⭐,2,,,,,,,,0.050%,0.200%
TRUE,A1 258,Articuno ex,Artikodin ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
TRUE,A1 259,Pikachu ex,Pikachu ex,Pikachu,⭐⭐,1,,,,,0.050%,0.200%,,,
TRUE,A1 260,Zapdos ex,Électhor ex,Pikachu,⭐⭐,2,,,,,0.050%,0.200%,,,
TRUE,A1 261,Gengar ex,Ectoplasma ex,Mewtwo,⭐⭐,1,,0.056%,0.222%,,,,,,
