🃏,195 / 207,,,,,⬆️,,,,,,
💠,148 / 155,,,,,Show/hide card pull rates,,,,,,
⭐,47 / 50,,,,,,Any A2,,,,,
👑,0 / 2,,,,,,Dialga,,,Palkia,,
TRUE,A2 033,Mamoswine,Mammochon,Dialga,💠💠💠,1,,0.357%,1.429%,,,
TRUE,A2 034,Regice,Regice,Palkia,💠💠,2,,,,,2.500%,1.667%
TRUE,A2 035,Piplup,Tiplouf,Palkia,💠,6,,,,2.273%,,
TRUE,A2 036,Prinplup,Prinplouf,Palkia,💠💠,1,,,,,2.500%,1.667%
TRUE,A2 037,Empoleon,Pingoléon,Palkia,💠💠💠,3,,,,,0.357%,1.429%
TRUE,A2 038,Buizel,Mustébouée,Any A2,💠,17,2.174%,,,2.273%,,
TRUE,A2 039,Floatzel,Mustéflott,Any A2,💠💠,8,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 040,Shellos,Sancoki,Palkia,💠,3,,,,2.273%,,
TRUE,A2 041,Gastrodon,Tritosor,Palkia,💠💠,3,,,,,2.500%,1.667%
TRUE,A2 042,Finneon,Écayon,Any A2,💠,14,2.174%,,,2.273%,,
TRUE,A2 043,Lumineon,Luminéon,Any A2,💠💠,7,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 044,Snover,Blizzi,Any A2,💠,13,2.174%,,,2.273%,,
TRUE,A2 045,Abomasnow,Blizzaroi,Any A2,💠💠,9,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 046,Glaceon,Givrali,Palkia,💠💠💠,2,,,,,0.357%,1.429%
TRUE,A2 047,Wash Rotom,Motisma Lavage ,Any A2,💠,12,2.174%,,,2.273%,,
TRUE,A2 048,Frost Rotom,Motisma Froid ,Any A2,💠,14,2.174%,,,2.273%,,
TRUE,A2 049,Palkia ex,Palkia ex,Palkia,💠💠💠💠,1,,,,,0.333%,1.333%
TRUE,A2 050,Manaphy,Manaphy,Palkia,💠💠,14,,,,,2.500%,1.667%
TRUE,A2 051,Magnemite,Magnéti,Any A2,💠,8,2.174%,,,2.273%,,
TRUE,A2 052,Magneton,Magnéton,Any A2,💠💠,4,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 053,Magnezone,Magnézone,Any A2,💠💠💠,4,,0.357%,1.429%,,0.357%,1.429%
TRUE,A2 054,Voltorb,Voltorbe,Any A2,💠,14,2.174%,,,2.273%,,
TRUE,A2 055,Electrode,Électrode,Any A2,💠💠,2,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 056,Electabuzz,Élektek,Dialga,💠,3,2.174%,,,,,
TRUE,A2 057,Electivire,Élékable,Dialga,💠💠💠,1,,0.357%,1.429%,,,
TRUE,A2 058,Shinx,Lixy,Dialga,💠,5,2.174%,,,,,
TRUE,A2 059,Luxio,Luxio,Dialga,💠💠,1,,2.647%,1.765%,,,
TRUE,A2 060,Luxray,Luxray,Dialga,💠💠💠,2,,0.357%,1.429%,,,
FALSE,A2 061,Pachirisu ex,Pachirisu ex,Dialga,💠💠💠💠,0,,0.333%,1.333%,,,
TRUE,A2 062,Rotom,Motisma,Palkia,💠,3,,,,2.273%,,
TRUE,A2 063,Togepi,Togepi,Any A2,💠,11,2.174%,,,2.273%,,
TRUE,A2 064,Togetic,Togetic,Any A2,💠💠,8,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 065,Togekiss,Togekiss,Any A2,💠💠💠,3,,0.357%,1.429%,,0.357%,1.429%
TRUE,A2 066,Misdreavus,Feuforève,Palkia,💠,5,,,,2.273%,,
FALSE,A2 067,Mismagius ex,Magirêve ex,Palkia,💠💠💠💠,0,,,,,0.333%,1.333%
TRUE,A2 068,Ralts,Tarsal,Dialga,💠,7,2.174%,,,,,
TRUE,A2 069,Kirlia,Kirlia,Dialga,💠,3,2.174%,,,,,
TRUE,A2 070,Duskull,Skelénox,Dialga,💠,7,2.174%,,,,,
TRUE,A2 071,Dusclops,Téraclope,Dialga,💠💠,5,,2.647%,1.765%,,,
TRUE,A2 072,Dusknoir,Noctunoir,Dialga,💠💠💠,1,,0.357%,1.429%,,,
TRUE,A2 073,Drifloon,Baudrive,Dialga,💠,9,2.174%,,,,,
TRUE,A2 074,Drifblim,Grodrive,Dialga,💠💠,4,,2.647%,1.765%,,,
TRUE,A2 075,Uxie,Créhelf,Any A2,💠💠,12,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 076,Mesprit,Créfollet,Any A2,💠💠💠,1,,0.357%,1.429%,,0.357%,1.429%
TRUE,A2 077,Azelf,Créfadet,Any A2,💠💠,7,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 078,Giratina,Giratina,Palkia,💠💠💠,1,,,,,0.357%,1.429%
TRUE,A2 079,Cresselia,Cresselia,Palkia,💠💠💠,1,,,,,0.357%,1.429%
TRUE,A2 080,Rhyhorn,Rhinocorne,Palkia,💠,4,,,,2.273%,,
TRUE,A2 081,Rhydon,Rhinoféros,Palkia,💠💠,1,,,,,2.500%,1.667%
TRUE,A2 082,Rhyperior,Rhinastoc,Palkia,💠💠💠,1,,,,,0.357%,1.429%
TRUE,A2 083,Gligar,Scorplane,Dialga,💠,9,2.174%,,,,,
TRUE,A2 084,Gliscor,Scorvol,Dialga,💠💠,5,,2.647%,1.765%,,,
TRUE,A2 085,Hitmontop,Kapoera,Dialga,💠,6,2.174%,,,,,
TRUE,A2 086,Nosepass,Tarinor,Any A2,💠,10,2.174%,,,2.273%,,
TRUE,A2 087,Regirock,Regirock,Any A2,💠💠,10,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 088,Cranidos,Kranidos,Dialga,💠💠,3,,2.647%,1.765%,,,
TRUE,A2 089,Rampardos,Charkos,Dialga,💠💠💠,1,,0.357%,1.429%,,,
TRUE,A2 090,Wormadam,Cheniselle,Dialga,💠,7,2.174%,,,,,
TRUE,A2 091,Riolu,Riolu,Dialga,💠,8,2.174%,,,,,
FALSE,A2 092,Lucario,Lucario,Dialga,💠💠💠,0,,0.357%,1.429%,,,
TRUE,A2 093,Hippopotas,Hippopotas,Palkia,💠,3,,,,2.273%,,
TRUE,A2 094,Hippowdon,Hippodocus,Palkia,💠💠,3,,,,,2.500%,1.667%
TRUE,A2 095,Gallade ex,Gallame ex,Dialga,💠💠💠💠,2,,0.333%,1.333%,,,
TRUE,A2 096,Murkrow,Cornèbre,Dialga,💠,11,2.174%,,,,,
TRUE,A2 097,Honchkrow,Corboss,Dialga,💠💠,3,,2.647%,1.765%,,,
TRUE,A2 098,Sneasel,Farfuret,Palkia,💠,2,,,,2.273%,,
TRUE,A2 099,Weavile ex,Dimoret ex,Palkia,💠💠💠💠,2,,,,,0.333%,1.333%
TRUE,A2 100,Poochyena,Medhyèna,Any A2,💠,12,2.174%,,,2.273%,,
TRUE,A2 101,Mightyena,Grahyèna,Any A2,💠💠,6,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 102,Stunky,Moufouette,Dialga,💠,5,2.174%,,,,,
TRUE,A2 103,Skuntank,Moufflair,Dialga,💠💠,7,,2.647%,1.765%,,,
TRUE,A2 104,Spiritomb,Spiritomb,Palkia,💠💠,5,,,,,2.500%,1.667%
TRUE,A2 105,Skorupi,Rapion,Any A2,💠,6,2.174%,,,2.273%,,
TRUE,A2 106,Drapion,Drascore,Any A2,💠💠,7,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 107,Croagunk,Cradopaud,Dialga,💠,12,2.174%,,,,,
TRUE,A2 108,Toxicroak,Coatox,Dialga,💠💠,6,,2.647%,1.765%,,,
TRUE,A2 109,Darkrai,Darkrai,Dialga,💠💠💠,4,,0.357%,1.429%,,,
TRUE,A2 110,Darkrai ex,Darkrai ex,Dialga,💠💠💠💠,1,,0.333%,1.333%,,,
TRUE,A2 111,Skarmory,Airmure,Any A2,💠💠,3,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 112,Registeel,Registeel,Dialga,💠💠,5,,2.647%,1.765%,,,
TRUE,A2 113,Shieldon,Dinoclier,Palkia,💠💠,1,,,,,2.500%,1.667%
TRUE,A2 114,Bastiodon,Bastiodon,Palkia,💠💠💠,1,,,,,0.357%,1.429%
TRUE,A2 115,Wormadam,Cheniselle,Palkia,💠,7,,,,2.273%,,
TRUE,A2 116,Bronzor,Archéomire,Dialga,💠,8,2.174%,,,,,
TRUE,A2 117,Bronzong,Archéodong,Dialga,💠💠,6,,2.647%,1.765%,,,
TRUE,A2 118,Probopass,Tarinorme,Any A2,💠💠,4,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 119,Dialga ex,Dialga ex,Dialga,💠💠💠💠,1,,0.333%,1.333%,,,
TRUE,A2 120,Heatran,Heatran,Dialga,💠💠💠,1,,0.357%,1.429%,,,
TRUE,A2 121,Gible,Griknot,Palkia,💠,4,,,,2.273%,,
TRUE,A2 122,Gabite,Carmache,Palkia,💠💠,7,,,,,2.500%,1.667%
FALSE,A2 123,Garchomp,Carchacrok,Palkia,💠💠💠,0,,,,,0.357%,1.429%
TRUE,A2 124,Lickitung,Excelangue,Palkia,💠,3,,,,2.273%,,
TRUE,A2 125,Lickilicky ex,Coudlangue ex,Palkia,💠💠💠💠,1,,,,,0.333%,1.333%
TRUE,A2 126,Eevee,Évoli,Any A2,💠,10,2.174%,,,2.273%,,
TRUE,A2 127,Porygon,Porygon,Palkia,💠,1,,,,2.273%,,
TRUE,A2 128,Porygon2,Porygon2,Palkia,💠💠,1,,,,,2.500%,1.667%
TRUE,A2 129,Porygon Z,Porygon Z,Palkia,💠💠💠,1,,,,,0.357%,1.429%
TRUE,A2 130,Aipom,Capumain,Any A2,💠,14,2.174%,,,2.273%,,
TRUE,A2 131,Ambipom,Capidextre,Any A2,💠,8,2.174%,,,2.273%,,
TRUE,A2 132,Starly,Étourmi,Palkia,💠,8,,,,2.273%,,
TRUE,A2 133,Staravia,Étourvol,Palkia,💠,4,,,,2.273%,,
TRUE,A2 134,Staraptor,Étouraptor,Palkia,💠💠,3,,,,,2.500%,1.667%
TRUE,A2 135,Bidoof,Keunotor,Dialga,💠,7,2.174%,,,,,
TRUE,A2 136,Bibarel,Castorno,Dialga,💠,3,2.174%,,,,,
TRUE,A2 137,Buneary,Laporeille,Dialga,💠,6,2.174%,,,,,
TRUE,A2 138,Lopunny,Lockpin,Dialga,💠,1,2.174%,,,,,
TRUE,A2 139,Glameow,Chaglam,Palkia,💠,4,,,,2.273%,,
TRUE,A2 140,Purugly,Chaffreux,Palkia,💠💠,4,,,,,2.500%,1.667%
TRUE,A2 141,Chatot,Pijako,Palkia,💠,2,,,,2.273%,,
TRUE,A2 142,Fan Rotom,Motisma Hélice ,Any A2,💠,6,2.174%,,,2.273%,,
TRUE,A2 143,Regigigas,Regigigas,Any A2,💠💠💠,1,,0.357%,1.429%,,0.357%,1.429%
TRUE,A2 144,Skull Fossil,Fossile Crâne,Dialga,💠,11,2.174%,,,,,
TRUE,A2 145,Armor Fossil,Fossile Armure,Palkia,💠,3,,,,2.273%,,
TRUE,A2 146,Pokemon Communication,Communication Pokémon,Dialga,💠💠,5,,2.647%,1.765%,,,
TRUE,A2 147,Giant Cape,Cape Géante,Dialga,💠💠,4,,2.647%,1.765%,,,
TRUE,A2 148,Rocky Helmet,Casque brut,Palkia,💠💠,4,,,,,2.500%,1.667%
TRUE,A2 149,Lum Berry,Baie Prine,Palkia,💠💠,3,,,,,2.500%,1.667%
TRUE,A2 150,Cyrus,Hélio,Palkia,💠💠,4,,,,,2.500%,1.667%
TRUE,A2 151,Team Galactic Grunt,Sbire de la Team Galaxy,Dialga,💠💠,5,,2.647%,1.765%,,,
FALSE,A2 152,Cynthia,Cynthia,Palkia,💠💠,0,,,,,2.500%,1.667%
TRUE,A2 153,Volkner,Tanguy,Dialga,💠💠,4,,2.647%,1.765%,,,
TRUE,A2 154,Dawn,Aurore,Dialga,💠💠,6,,2.647%,1.765%,,,
TRUE,A2 155,Mars,Mars,Palkia,💠💠,2,,,,,2.500%,1.667%
TRUE,A2 156,Tangrowth,Bouldeneu,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 157,Combee,Apitrini,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 158,Carnivine,Vortente,Palkia,⭐,2,,,,,0.214%,0.857%
TRUE,A2 159,Shaymin,Shaymin,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 160,Mamoswine,Mammochon,Dialga,⭐,3,,0.214%,0.857%,,,
TRUE,A2 161,Gastrodon,Tritosor,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 162,Manaphy,Manaphy,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 163,Shinx,Lixy,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 164,Rotom,Motisma,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 165,Drifloon,Baudrive,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 166,Mesprit,Créfollet,Dialga,⭐,3,,0.214%,0.857%,,,
TRUE,A2 167,Giratina,Giratina,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 168,Cresselia,Cresselia,Palkia,⭐,2,,,,,0.214%,0.857%
TRUE,A2 169,Rhyperior,Rhinastoc,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 170,Lucario,Lucario,Dialga,⭐,3,,0.214%,0.857%,,,
TRUE,A2 171,Hippopotas,Hippopotas,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 172,Spiritomb,Spiritomb,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 173,Croagunk,Cradopaud,Dialga,⭐,3,,0.214%,0.857%,,,
TRUE,A2 174,Heatran,Heatran,Dialga,⭐,2,,0.214%,0.857%,,,
TRUE,A2 175,Garchomp,Carchacrok,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 176,Staraptor,Étouraptor,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 177,Bidoof,Keunotor,Dialga,⭐,3,,0.214%,0.857%,,,
TRUE,A2 178,Glameow,Chaglam,Palkia,⭐,1,,,,,0.214%,0.857%
TRUE,A2 179,Regigigas,Regigigas,Dialga,⭐,1,,0.214%,0.857%,,,
TRUE,A2 180,Yanmega ex,Yanmega ex,Dialga,⭐⭐,2,,0.042%,0.167%,,,
TRUE,A2 181,Infernape ex,Simiabraz ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 182,Palkia ex,Palkia ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 183,Pachirisu ex,Pachirisu ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 184,Mismagius ex,Magirêve ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 185,Gallade ex,Gallame ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 186,Weavile ex,Dimoret ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 187,Darkrai ex,Darkrai ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
FALSE,A2 188,Dialga ex,Dialga ex,Dialga,⭐⭐,0,,0.042%,0.167%,,,
TRUE,A2 189,Lickilicky ex,Coudlangue ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 190,Cyrus,Hélio,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 191,Team Galactic Grunt,Sbire de la Team Galaxy,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 192,Cynthia,Cynthia,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 193,Volkner,Tanguy,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 194,Dawn,Aurore,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 195,Mars,Mars,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 196,Yanmega ex,Yanmega ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 197,Infernape ex,Simiabraz ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 198,Pachirisu ex,Pachirisu ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 199,Mismagius ex,Magirêve ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 200,Gallade ex,Gallame ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 201,Weavile ex,Dimoret ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
TRUE,A2 202,Darkrai ex,Darkrai ex,Dialga,⭐⭐,1,,0.042%,0.167%,,,
TRUE,A2 203,Lickilicky ex,Coudlangue ex,Palkia,⭐⭐,1,,,,,0.042%,0.167%
FALSE,A2 204,Palkia ex,Palkia ex,Palkia,⭐⭐⭐,0,,,,,0.222%,0.888%
FALSE,A2 205,Dialga ex,Dialga ex,Dialga,⭐⭐⭐,0,,0.222%,0.888%,,,
FALSE,A2 206,Palkia ex,Palkia ex,Any A2,👑,0,,0.020%,0.080%,,0.020%,0.080%
FALSE,A2 207,Dialga ex,Dialga ex,Any A2,👑,0,,0.020%,0.080%,,0.020%,0.080%
