🃏,82 / 86,,,,,⬆️,,,
TRUE,A1a 054,Whirlipede,Scobolide,Mew,💠,7,3.125%,,
TRUE,A1a 055,Scolipede,Brutapode,Mew,💠💠,3,,3.913%,2.609%
TRUE,A1a 056,Druddigon,Drakkarmin,Mew,💠💠,5,,3.913%,2.609%
TRUE,A1a 057,Pidgey,Roucool,Mew,💠,5,3.125%,,
TRUE,A1a 058,Pidgeotto,Roucoups,Mew,💠,11,3.125%,,
TRUE,A1a 059,Pidgeot ex,Roucarnage ex,Mew,💠💠💠💠,1,,0.333%,1.333%
TRUE,A1a 060,Tauros,Tauros,Mew,💠💠💠,5,,0.625%,2.500%
TRUE,A1a 061,Eevee,Évoli,Mew,💠,12,3.125%,,
TRUE,A1a 062,Chatot,Pijako,Mew,💠,4,3.125%,,
TRUE,A1a 063,Old Amber,Vieil Ambre,Mew,💠,14,3.125%,,
TRUE,A1a 064,Pokemon Flute,Flûte Pokémon,Mew,💠💠,8,,3.913%,2.609%
TRUE,A1a 065,Mythical Slab,Dalle Fabuleuse,Mew,💠💠,3,,3.913%,2.609%
TRUE,A1a 066,Budding Expeditioner,Jeune Explorateur,Mew,💠💠,3,,3.913%,2.609%
TRUE,A1a 067,Blue,Blue,Mew,💠💠,7,,3.913%,2.609%
TRUE,A1a 068,Leaf,Leaf,Mew,💠💠,9,,3.913%,2.609%
TRUE,A1a 069,Exeggutor,Noadkoko,Mew,⭐,1,,0.429%,1.715%
TRUE,A1a 070,Serperior,Majaspic,Mew,⭐,2,,0.429%,1.715%
TRUE,A1a 071,Salandit,Tritox,Mew,⭐,2,,0.429%,1.715%
TRUE,A1a 072,Vaporeon,Aquali,Mew,⭐,2,,0.429%,1.715%
TRUE,A1a 073,Dedenne,Dédenne,Mew,⭐,1,,0.429%,1.715%
TRUE,A1a 074,Marshadow,Marshadow,Mew,⭐,2,,0.429%,1.715%
TRUE,A1a 075,Celebi ex,Celebi ex,Mew,⭐⭐,1,,0.050%,0.200%
TRUE,A1a 076,Gyarados ex,Léviator ex,Mew,⭐⭐,1,,0.050%,0.200%
TRUE,A1a 077,Mew ex,Mew ex,Mew,⭐⭐,1,,0.050%,0.200%
TRUE,A1a 078,Aerodactyl ex,Ptéra ex,Mew,⭐⭐,1,,0.050%,0.200%
FALSE,A1a 079,Pidgeot ex,Roucarnage ex,Mew,⭐⭐,0,,0.050%,0.200%
FALSE,A1a 080,Budding Expeditioner,Jeune Explorateur,Mew,⭐⭐,0,,0.050%,0.200%
TRUE,A1a 081,Blue,Blue,Mew,⭐⭐,1,,0.050%,0.200%
FALSE,A1a 082,Leaf,Leaf,Mew,⭐⭐,0,,0.050%,0.200%
TRUE,A1a 083,Mew ex,Mew ex,Mew,⭐⭐,1,,0.050%,0.200%
TRUE,A1a 084,Aerodactyl ex,Ptéra ex,Mew,⭐⭐,1,,0.050%,0.200%
TRUE,A1a 085,Celebi ex,Celebi ex,Mew,⭐⭐⭐,1,,0.222%,0.888%
FALSE,A1a 086,Mew ex,Mew ex,Mew,👑,0,,0.040%,0.160%
