🃏,75 / 111,,,,,⬆️,,,
TRUE,A2b 070,Pokémon Center Lady,Dame du Centre Pokémon,Shinies,💠💠,2,,4.045%,2.545%
TRUE,A2b 071,Red,Red,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 072,Team Rocket Grunt,Sbire de la Team Rocket,Shinies,💠💠,1,,4.045%,2.545%
TRUE,A2b 073,Meowscarada,Miascarade,Shinies,⭐,1,,0.429%,1.715%
FALSE,A2b 074,Buizel,Mustébouée,Shinies,⭐,0,,0.429%,1.715%
TRUE,A2b 075,Tatsugiri,Nigirigon,Shinies,⭐,1,,0.429%,1.715%
FALSE,A2b 076,Grafaiai,Tag-Tag,Shinies,⭐,0,,0.429%,1.715%
FALSE,A2b 077,Gholdengo,Gromago,Shinies,⭐,0,,0.429%,1.715%
TRUE,A2b 078,Wigglytuff,Grodoudou,Shinies,⭐,1,,0.429%,1.715%
FALSE,A2b 079,Beedrill ex,Dardargnan ex,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 080,Charizard ex,Dracaufeu ex,Shinies,⭐⭐,0,,0.029%,0.118%
TRUE,A2b 081,Wugtrio ex,Triopikeau ex,Shinies,⭐⭐,1,,0.029%,0.118%
TRUE,A2b 082,Pikachu ex,Pikachu ex,Shinies,⭐⭐,1,,0.029%,0.118%
FALSE,A2b 083,Giratina ex,Giratina ex,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 084,Lucario ex,Lucario ex,Shinies,⭐⭐,0,,0.029%,0.118%
TRUE,A2b 085,Paldean Clodsire ex,Terraiste de Paldea ex,Shinies,⭐⭐,1,,0.029%,0.118%
FALSE,A2b 086,Tinkaton ex,Forgelina ex,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 087,Bibarel ex,Castorno ex,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 088,Iono,Mashynn,Shinies,⭐⭐,0,,0.029%,0.118%
TRUE,A2b 089,Pokémon Center Lady,Dame du Centre Pokémon,Shinies,⭐⭐,1,,0.029%,0.118%
FALSE,A2b 090,Red,Red,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 091,Team Rocket Grunt,Sbire de la Team Rocket,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 092,Pikachu ex,Pikachu ex,Shinies,⭐⭐,0,,0.029%,0.118%
FALSE,A2b 093,Paldean Clodsire ex,Terraiste de Paldea ex,Shinies,⭐⭐,0,,0.029%,0.118%
TRUE,A2b 094,Tinkaton ex,Forgelina ex,Shinies,⭐⭐,1,,0.029%,0.118%
FALSE,A2b 095,Bibarel ex,Castorno ex,Shinies,⭐⭐,0,,0.029%,0.118%
TRUE,A2b 096,Giratina ex,Giratina ex,Shinies,⭐⭐⭐,1,,0.222%,0.888%
FALSE,A2b 097,Weedle,Aspicot,Shinies,✨,0,,0.071%,0.286%
FALSE,A2b 098,Kakuna,Coconfort,Shinies,✨,0,,0.071%,0.286%
FALSE,A2b 099,Charmander,Salamèche,Shinies,✨,0,,0.071%,0.286%
FALSE,A2b 100,Charmeleon,Reptincel,Shinies,✨,0,,0.071%,0.286%
FALSE,A2b 101,Wiglett,Taupikeau,Shinies,✨,0,,0.071%,0.286%
TRUE,A2b 102,Dondozo,Oyacata,Shinies,✨,1,,0.071%,0.286%
FALSE,A2b 103,Pachirisu,Pachirisu,Shinies,✨,0,,0.071%,0.286%
TRUE,A2b 104,Riolu,Riolu,Shinies,✨,1,,0.071%,0.286%
FALSE,A2b 105,Varoom,Vrombi,Shinies,✨,0,,0.071%,0.286%
TRUE,A2b 106,Revavroom,Vrombotor,Shinies,✨,1,,0.071%,0.286%
FALSE,A2b 107,Beedrill ex,Dardargnan ex,Shinies,✨✨,0,,0.083%,0.333%
TRUE,A2b 108,Charizard ex,Dracaufeu ex,Shinies,✨✨,1,,0.083%,0.333%
TRUE,A2b 109,Wugtrio ex,Triopikeau ex,Shinies,✨✨,1,,0.083%,0.333%
FALSE,A2b 110,Lucario ex,Lucario ex,Shinies,✨✨,0,,0.083%,0.333%
FALSE,A2b 111,Poké Ball,Poké Ball,Shinies,👑,0,,0.040%,0.160%
